dataset,dataset_name,window_id,start_s,end_s,sample_rows,frame_count,vehicle_count,density_veh_per_m,flow_veh_per_s,mean_speed_kmh,std_speed_kmh,speed_ratio,mean_abs_acc,std_acc,mean_headway_s,min_headway_s,mean_space_gap_m,headway_sample_count,acceleration_interference,mgti,lane_change_count,lane_change_rate,hbb_occupancy,obb_occupancy,occupancy_reduction,hbb_hfgo_occupancy,hfgo_occupancy,hfgo_occupancy_reduction,hbb_grid_active_mean,obb_grid_active_mean,grid_active_reduction,hbb_grid_entropy_mean,obb_grid_entropy_mean,grid_entropy_reduction,hbb_grid_peak_frac_mean,obb_grid_peak_frac_mean,grid_peak_gain,sgt_hfgo,direction_fluctuation,theta_conf_mean
pkdd8,PKDD-8,0,2.000,7.000,3626,150,33,0.117857,6.600000,66.414917,12.324388,0.830186,0.215766,0.298476,3.234771,0.752876,56.664959,2408,0.298476,-1.6837201118469238,6,0.181818,0.00776881,0.00776882,-0.00000013,0.00776881,0.00776881,0.00000000,1.193284,1.196287,-0.002517,0.024737,0.024685,0.002136,0.952140,0.952271,0.000132,0.00300154,1.93449510,1.000000
pkdd8,PKDD-8,1,3.000,8.000,3663,150,32,0.114286,6.400000,66.177734,12.772157,0.827222,0.219726,0.297975,3.033236,0.611236,54.699318,2441,0.297975,-1.9090293645858765,5,0.156250,0.00784730,0.00784730,-0.00000007,0.00784730,0.00784730,0.00000000,1.199073,1.202073,-0.002502,0.025549,0.025498,0.002012,0.950547,0.950681,0.000134,0.00285266,1.83344706,1.000000
pkdd8,PKDD-8,2,4.000,9.000,3667,150,33,0.117857,6.600000,65.635185,13.275963,0.820440,0.231879,0.309372,2.962135,0.611236,53.623711,2445,0.309372,-1.9316177368164062,6,0.181818,0.00791256,0.00791256,-0.00000007,0.00791256,0.00791256,0.00000000,1.201855,1.204037,-0.001816,0.026024,0.025981,0.001669,0.949491,0.949613,0.000122,0.00250852,1.74219561,1.000000
pkdd8,PKDD-8,3,5.000,10.000,3666,150,32,0.114286,6.400000,65.244835,13.922155,0.815560,0.252194,0.333563,2.910682,0.611236,52.533817,2445,0.333563,-1.9808738231658936,6,0.187500,0.00799023,0.00799023,0.00000013,0.00799023,0.00799023,0.00000000,1.197979,1.199345,-0.001140,0.025364,0.025314,0.001973,0.950868,0.950996,0.000128,0.00280694,1.68807375,1.000000
pkdd8,PKDD-8,4,6.000,11.000,3662,150,34,0.121429,6.800000,65.311150,14.121641,0.816389,0.273827,0.356929,2.743239,0.611236,51.429287,2449,0.356929,-2.1312062740325928,6,0.176471,0.00799525,0.00799525,0.00000013,0.00799525,0.00799525,0.00000000,1.195885,1.196982,-0.000918,0.025158,0.025112,0.001818,0.951219,0.951338,0.000119,0.00318887,1.63557208,1.000000
pkdd8,PKDD-8,5,7.000,12.000,3645,150,30,0.107143,6.000000,65.166321,14.376694,0.814579,0.293612,0.384239,2.737819,0.611236,51.156555,2445,0.384239,-2.2074928283691406,14,0.466667,0.00797612,0.00797612,0.00000013,0.00797612,0.00797612,0.00000006,1.194635,1.196003,-0.001146,0.024965,0.024930,0.001409,0.951863,0.951950,0.000087,0.00354569,1.69792916,1.000000
pkdd8,PKDD-8,6,8.000,13.000,3653,150,32,0.114286,6.400000,64.956635,14.714374,0.811958,0.296176,0.390095,2.710513,0.451622,50.518837,2424,0.390095,-2.189046621322632,10,0.312500,0.00787344,0.00787344,0.00000000,0.00787344,0.00787343,0.00000111,1.183048,1.184981,-0.001634,0.023771,0.023743,0.001192,0.953882,0.953957,0.000075,0.00354165,1.78896528,1.000000
pkdd8,PKDD-8,7,9.000,14.000,3622,150,32,0.114286,6.400000,64.892998,15.184146,0.811162,0.293565,0.391844,2.711061,0.290284,50.964413,2363,0.391844,-2.1866021156311035,10,0.312500,0.00781499,0.00781499,0.00000000,0.00781499,0.00781498,0.00000119,1.185880,1.187259,-0.001163,0.024037,0.024004,0.001362,0.953459,0.953540,0.000081,0.00325807,1.89663386,0.999876
pkdd8,PKDD-8,8,10.000,15.000,3626,150,33,0.117857,6.600000,64.872742,15.511422,0.810909,0.283540,0.380197,2.745135,0.195960,52.322102,2337,0.380197,-2.135305643081665,15,0.454545,0.00761508,0.00761508,-0.00000007,0.00761508,0.00761507,0.00000122,1.187133,1.189091,-0.001649,0.024335,0.024279,0.002291,0.952757,0.952887,0.000130,0.00356669,2.00086495,0.999748
pkdd8,PKDD-8,9,11.000,16.000,3575,150,32,0.114286,6.400000,64.701996,15.780935,0.808775,0.279400,0.373629,2.718968,0.000137,52.019608,2252,0.373629,-2.1808502674102783,19,0.593750,0.00741042,0.00741042,0.00000014,0.00741042,0.00741041,0.00000125,1.181508,1.182930,-0.001204,0.023478,0.023420,0.002462,0.954378,0.954508,0.000130,0.00355510,2.03540242,0.999616
pkdd8,PKDD-8,10,12.000,17.000,3515,150,30,0.107143,6.000000,64.462242,15.996384,0.805778,0.256003,0.347728,2.730844,0.000137,52.573231,2162,0.347728,-2.206742763519287,12,0.400000,0.00701185,0.00701185,0.00000000,0.00701185,0.00701184,0.00000154,1.175148,1.176331,-0.001007,0.022547,0.022483,0.002834,0.956215,0.956361,0.000146,0.00385824,1.87359182,0.999601
pkdd8,PKDD-8,11,13.000,18.000,3380,150,31,0.110714,6.200000,64.517647,16.133526,0.806471,0.242710,0.336874,2.795162,0.000137,53.354130,2055,0.336874,-2.134429454803467,12,0.387097,0.00660330,0.00660330,0.00000031,0.00660330,0.00660329,0.00000171,1.181930,1.182545,-0.000520,0.023222,0.023149,0.003104,0.955122,0.955284,0.000162,0.00340242,1.78062141,0.999585
pkdd8,PKDD-8,12,14.000,19.000,3254,150,32,0.114286,6.400000,64.660706,16.206013,0.808259,0.238881,0.326701,2.689718,0.000137,51.028065,1937,0.326701,-2.2511799335479736,11,0.343750,0.00632126,0.00632126,0.00000049,0.00632126,0.00632125,0.00000244,1.174444,1.175697,-0.001067,0.022181,0.022101,0.003607,0.957093,0.957264,0.000171,0.00304011,1.71294968,0.999577
pkdd8,PKDD-8,13,15.000,20.000,3193,150,32,0.114286,6.400000,65.081924,16.248302,0.813524,0.240520,0.330688,2.537217,0.000137,47.932426,1876,0.330688,-2.454596519470215,5,0.156250,0.00611200,0.00611200,-0.00000008,0.00611200,0.00611199,0.00000261,1.165406,1.166352,-0.000811,0.021012,0.020960,0.002492,0.959388,0.959501,0.000113,0.00298282,1.69673804,0.999716
pkdd8,PKDD-8,14,16.000,21.000,3174,150,32,0.114286,6.400000,65.683884,16.201284,0.821049,0.236398,0.327116,2.482842,0.344699,47.495453,1861,0.327116,-2.558842182159424,1,0.031250,0.00594971,0.00594971,0.00000000,0.00594971,0.00594952,0.00003183,1.163733,1.165305,-0.001350,0.021034,0.020985,0.002345,0.959222,0.959334,0.000112,0.00259469,1.74135813,0.999717
pkdd8,PKDD-8,15,17.000,22.000,3182,150,31,0.110714,6.200000,66.422569,16.086740,0.830282,0.251540,0.335943,2.440777,0.330608,47.025028,1869,0.335943,-2.6644413471221924,2,0.064516,0.00614425,0.00614425,-0.00000025,0.00614425,0.00614406,0.00003040,1.165207,1.167019,-0.001555,0.021243,0.021198,0.002087,0.958813,0.958908,0.000095,0.00260738,1.97024813,0.999728
