dataset,dataset_name,window_id,start_s,end_s,sample_rows,frame_count,vehicle_count,density_veh_per_m,flow_veh_per_s,mean_speed_kmh,std_speed_kmh,speed_ratio,mean_abs_acc,std_acc,mean_headway_s,min_headway_s,mean_space_gap_m,headway_sample_count,acceleration_interference,mgti,lane_change_count,lane_change_rate,hbb_occupancy,obb_occupancy,occupancy_reduction,hbb_hfgo_occupancy,hfgo_occupancy,hfgo_occupancy_reduction,hbb_grid_active_mean,obb_grid_active_mean,grid_active_reduction,hbb_grid_entropy_mean,obb_grid_entropy_mean,grid_entropy_reduction,hbb_grid_peak_frac_mean,obb_grid_peak_frac_mean,grid_peak_gain,direction_fluctuation,theta_conf_mean
xamn5,XAM-N-5,0,1.000,6.000,4926,150,43,0.307143,8.600000,33.176796,11.375072,0.552947,1.353668,2.032873,2.787356,0.001010,20.353163,3370,2.032873,1.596799612045288,9,0.209302,0.04374662,0.03976169,0.09109130,0.04374662,0.04374662,0.00000000,1.508053,1.536507,-0.018868,0.060473,0.060624,-0.002502,0.886343,0.886446,0.000104,2.56131850,1.000000
xamn5,XAM-N-5,1,2.000,7.000,5338,150,46,0.328571,9.200000,33.543961,11.052274,0.559066,1.361740,2.086381,2.741429,0.001010,21.239883,3782,2.086381,1.6687172651290894,11,0.239130,0.04470562,0.04085306,0.08617611,0.04470562,0.04470562,0.00000000,1.505773,1.532890,-0.018009,0.060631,0.060785,-0.002542,0.885344,0.885367,0.000023,2.31755363,1.000000
xamn5,XAM-N-5,2,3.000,8.000,5668,150,51,0.364286,10.200000,33.472923,10.818363,0.557882,1.330663,2.068755,2.684105,0.007378,21.526535,4116,2.068755,1.8485596179962158,16,0.313725,0.04580144,0.04212316,0.08030934,0.04580144,0.04580144,0.00000000,1.520007,1.549634,-0.019491,0.060871,0.061167,-0.004862,0.885137,0.885067,-0.000070,2.12942034,1.000000
xamn5,XAM-N-5,3,4.000,9.000,5917,150,52,0.371429,10.400000,33.118740,10.759577,0.551979,1.305259,2.043722,2.608391,0.007378,21.312946,4395,2.043722,1.8692293167114258,15,0.288462,0.04675777,0.04328071,0.07436330,0.04675777,0.04675777,0.00000000,1.515819,1.549279,-0.022074,0.061006,0.061449,-0.007260,0.883916,0.883773,-0.000143,2.00863207,1.000000
xamn5,XAM-N-5,4,5.000,10.000,6103,150,54,0.385714,10.800000,32.516960,10.993964,0.541949,1.241737,1.940936,2.480438,0.007378,20.293625,4591,1.940936,1.888352394104004,16,0.296296,0.04761390,0.04432768,0.06901821,0.04761390,0.04761345,0.00000954,1.529326,1.559786,-0.019917,0.061548,0.061951,-0.006538,0.883914,0.883792,-0.000122,1.95598441,1.000000
xamn5,XAM-N-5,5,6.000,11.000,6184,150,54,0.385714,10.800000,31.868977,11.395002,0.531150,1.215779,1.904723,2.395842,0.034223,19.110374,4687,1.904723,1.8868168592453003,17,0.314815,0.04863738,0.04563171,0.06179760,0.04863738,0.04863226,0.00010528,1.537745,1.572599,-0.022666,0.063126,0.063599,-0.007498,0.880606,0.880507,-0.000099,1.93316173,1.000000
xamn5,XAM-N-5,6,7.000,12.000,6266,150,55,0.392857,11.000000,31.042192,11.842649,0.517370,1.158553,1.818929,2.390742,0.008984,17.780745,4768,1.818929,2.0290117263793945,20,0.363636,0.04969719,0.04702263,0.05381704,0.04969719,0.04968378,0.00026971,1.554039,1.589272,-0.022672,0.065153,0.065528,-0.005748,0.877288,0.877423,0.000135,1.95010239,1.000000
xamn5,XAM-N-5,7,8.000,13.000,6330,150,54,0.385714,10.800000,30.262594,12.125369,0.504377,1.125171,1.750622,2.394889,0.008984,16.840002,4853,1.750622,2.095628261566162,17,0.314815,0.05067730,0.04825566,0.04778564,0.05067730,0.05064962,0.00054621,1.566787,1.595668,-0.018433,0.068750,0.068867,-0.001710,0.868415,0.868848,0.000433,2.03401154,1.000000
xamn5,XAM-N-5,8,9.000,14.000,6370,150,54,0.385714,10.800000,29.548784,12.225657,0.492480,1.081115,1.671285,2.330334,0.008984,15.975657,4899,1.671285,2.1129322052001953,16,0.296296,0.05147490,0.04927962,0.04264761,0.05147490,0.05142861,0.00089926,1.568887,1.594008,-0.016012,0.068982,0.068941,0.000591,0.867914,0.868436,0.000522,2.10035778,1.000000
xamn5,XAM-N-5,9,10.000,15.000,6421,150,57,0.407143,11.400000,28.807911,12.093261,0.480132,1.023546,1.567167,2.348412,0.008984,15.491299,4922,1.567167,2.33895206451416,15,0.263158,0.05219407,0.05002562,0.04154604,0.05219407,0.05212111,0.00139795,1.571871,1.593068,-0.013486,0.069634,0.069614,0.000288,0.865844,0.866284,0.000440,2.15189416,1.000000
xamn5,XAM-N-5,10,11.000,16.000,6467,150,58,0.414286,11.600000,27.983255,11.729353,0.466388,0.970578,1.480173,2.251133,0.008984,14.513181,4910,1.480173,2.33709716796875,14,0.241379,0.05215028,0.04997556,0.04170108,0.05215028,0.05205239,0.00187719,1.571516,1.589491,-0.011438,0.070323,0.070296,0.000372,0.863750,0.864162,0.000412,2.21022935,1.000000
xamn5,XAM-N-5,11,12.000,17.000,6563,150,61,0.435714,12.200000,27.176830,11.252490,0.452947,0.950480,1.421615,2.147684,0.001319,13.958143,4963,1.421615,2.4274227619171143,14,0.229508,0.05268576,0.05041907,0.04302269,0.05268576,0.05257197,0.00215974,1.563493,1.586802,-0.014908,0.068540,0.068725,-0.002701,0.867257,0.867426,0.000169,2.27059058,0.999864
xamn5,XAM-N-5,12,13.000,18.000,6764,150,58,0.414286,11.600000,26.841555,11.105844,0.447359,0.955352,1.417038,2.065491,0.001319,13.687006,5058,1.417038,2.321013927459717,13,0.224138,0.05468833,0.05229398,0.04378186,0.05468833,0.05457879,0.00200305,1.553919,1.580141,-0.016875,0.066698,0.066960,-0.003938,0.872748,0.872850,0.000102,2.20907888,0.999801
xamn5,XAM-N-5,13,14.000,19.000,7084,150,60,0.428571,12.000000,26.860441,11.128350,0.447674,0.992089,1.466951,2.027138,0.001319,13.445230,5360,1.466951,2.470273017883301,16,0.266667,0.05776410,0.05516012,0.04507960,0.05776410,0.05766398,0.00173330,1.545301,1.569218,-0.015477,0.065840,0.066102,-0.003974,0.874605,0.874744,0.000139,2.25328486,0.999747
xamn5,XAM-N-5,14,15.000,20.000,7388,150,61,0.435714,12.200000,26.954975,11.207192,0.449250,1.009597,1.488594,2.005155,0.001319,13.273575,5643,1.488594,2.5910732746124268,20,0.327869,0.06083223,0.05808579,0.04514770,0.06083223,0.06072430,0.00177419,1.524285,1.550594,-0.017260,0.064128,0.064290,-0.002533,0.877738,0.878105,0.000367,2.28246419,0.999757
xamn5,XAM-N-5,15,16.000,21.000,7717,150,63,0.450000,12.600000,27.231203,11.405861,0.453853,1.045409,1.532356,2.039285,0.001319,13.390073,5942,1.532356,2.808738946914673,25,0.396825,0.06417266,0.06128789,0.04495322,0.06417266,0.06406832,0.00162590,1.511880,1.536674,-0.016399,0.062374,0.062460,-0.001376,0.881415,0.881860,0.000444,2.21980466,0.999768
xamn5,XAM-N-5,16,17.000,22.000,7879,150,65,0.464286,13.000000,27.476748,11.544697,0.457946,1.062580,1.547517,1.989032,0.006782,13.368715,6056,1.547517,2.868936777114868,22,0.338462,0.06574439,0.06277272,0.04520044,0.06574439,0.06562465,0.00182130,1.507138,1.527100,-0.013245,0.062674,0.062624,0.000800,0.880300,0.880881,0.000581,2.24386723,0.999886
xamn5,XAM-N-5,17,18.000,23.000,8046,150,70,0.500000,14.000000,27.589371,11.651850,0.459823,1.059813,1.543667,1.958904,0.004181,13.184280,6271,1.543667,3.054292678833008,22,0.314286,0.06660808,0.06353866,0.04608171,0.06660808,0.06647247,0.00203597,1.473489,1.490792,-0.011743,0.058688,0.058599,0.001523,0.887620,0.888160,0.000541,2.22509044,0.999944
xamn5,XAM-N-5,18,19.000,24.000,8129,150,68,0.485714,13.600000,27.783594,11.746247,0.463060,1.032225,1.514538,2.022239,0.004181,13.427984,6302,1.514538,3.035520553588867,19,0.279412,0.06679557,0.06364904,0.04710694,0.06679557,0.06663337,0.00242829,1.461953,1.480426,-0.012636,0.057234,0.057082,0.002656,0.890758,0.891375,0.000616,2.15969739,1.000000
xamn5,XAM-N-5,19,20.000,25.000,8151,150,69,0.492857,13.800000,27.938381,11.669425,0.465640,1.041319,1.533998,2.051592,0.004181,13.975485,6308,1.533998,3.090752124786377,18,0.260870,0.06668034,0.06355547,0.04686334,0.06668034,0.06653482,0.00218234,1.477826,1.496711,-0.012778,0.059253,0.059117,0.002296,0.886967,0.887545,0.000578,2.10853841,1.000000
xamn5,XAM-N-5,20,21.000,26.000,8043,150,67,0.478571,13.400000,28.017317,11.554651,0.466955,1.024008,1.501238,2.072538,0.004181,14.346195,6242,1.501238,2.9832253456115723,17,0.253731,0.06546212,0.06242928,0.04632969,0.06546212,0.06531239,0.00228724,1.468075,1.488453,-0.013881,0.059168,0.059126,0.000699,0.886435,0.886915,0.000480,2.08276174,0.999944
xamn5,XAM-N-5,21,22.000,27.000,7987,150,67,0.478571,13.400000,28.240656,11.444036,0.470678,1.026027,1.500202,2.148544,0.004181,14.796298,6226,1.500202,3.035191535949707,18,0.268657,0.06510468,0.06213096,0.04567587,0.06510468,0.06494750,0.00241419,1.467654,1.487684,-0.013648,0.057898,0.057817,0.001404,0.890234,0.890802,0.000568,2.01290171,0.999944
xamn5,XAM-N-5,22,23.000,28.000,7852,150,67,0.478571,13.400000,28.638441,11.228750,0.477307,1.047905,1.521872,2.222837,0.006460,15.386639,6066,1.521872,3.045896530151367,20,0.298507,0.06409358,0.06119013,0.04530010,0.06409358,0.06391762,0.00274531,1.482981,1.502974,-0.013481,0.059779,0.059728,0.000844,0.885917,0.886442,0.000525,2.05972305,0.998804
xamn5,XAM-N-5,23,24.000,29.000,7661,150,68,0.485714,13.600000,29.015932,10.989534,0.483599,1.062408,1.542937,2.182724,0.006460,15.600163,5876,1.542937,2.9584336280822754,20,0.294118,0.06273762,0.05992135,0.04488963,0.06273762,0.06255589,0.00289664,1.504404,1.525389,-0.013949,0.062569,0.062618,-0.000780,0.880032,0.880415,0.000383,2.11159292,0.998776
xamn5,XAM-N-5,24,25.000,30.000,7577,150,66,0.471429,13.200000,29.543715,10.945355,0.492395,1.042710,1.510486,2.155137,0.006460,15.554377,5809,1.510486,2.7762064933776855,19,0.287879,0.06200679,0.05932833,0.04319627,0.06200679,0.06178533,0.00357158,1.486295,1.506361,-0.013500,0.060382,0.060430,-0.000797,0.884330,0.884665,0.000334,2.12682296,0.997698
xamn5,XAM-N-5,25,26.000,31.000,7534,150,65,0.464286,13.000000,30.220375,10.840277,0.503673,1.030555,1.521365,2.147286,0.006460,15.810087,5769,1.521365,2.6497910022735596,14,0.215385,0.06141829,0.05888037,0.04132181,0.06141829,0.06120553,0.00346406,1.472171,1.491559,-0.013170,0.057717,0.057683,0.000575,0.890368,0.890734,0.000366,2.17649862,0.997685
